"","Dog_5_inter_001.V10"
"1",1
"2",17
"3",-24
"4",10
"5",-6
"6",-39
"7",2
"8",38
"9",-49
"10",-73
"11",-8
"12",1
"13",-19
"14",3
"15",59
"16",55
"17",-20
"18",5
"19",40
"20",32
"21",-43
"22",-48
"23",-39
"24",-27
"25",-10
"26",25
"27",-37
"28",16
"29",6
"30",-14
"31",-21
"32",-52
"33",-14
"34",11
"35",-18
"36",-34
"37",2
"38",18
"39",41
"40",58
"41",2
"42",-28
"43",-53
"44",-35
"45",-14
"46",65
"47",29
"48",-25
"49",-41
"50",3
"51",14
"52",1
"53",-11
"54",10
"55",12
"56",0
"57",3
"58",-27
"59",-28
"60",-6
"61",-24
"62",26
"63",-30
"64",17
"65",-13
"66",-1
"67",-1
"68",4
"69",-24
"70",18
"71",31
"72",4
"73",41
"74",-57
"75",-27
"76",49
"77",19
"78",-11
"79",-23
"80",14
"81",0
"82",39
"83",-16
"84",20
"85",21
"86",13
"87",-21
"88",17
"89",-7
"90",18
"91",-23
"92",-85
"93",0
"94",0
"95",-30
"96",9
"97",36
"98",-35
"99",-1
"100",9
"101",31
"102",35
"103",34
"104",-13
"105",46
"106",-9
"107",-48
"108",19
"109",-29
"110",-22
"111",-3
"112",-12
"113",-6
"114",45
"115",38
"116",-1
"117",-35
"118",23
"119",25
"120",3
"121",3
"122",12
"123",-4
"124",5
"125",-19
"126",-31
"127",-29
"128",17
"129",-8
"130",17
"131",-5
"132",36
"133",19
"134",39
"135",-22
"136",35
"137",-15
"138",-30
"139",18
"140",59
"141",-80
"142",8
"143",7
"144",8
"145",6
"146",-52
"147",-10
"148",6
"149",-17
"150",18
"151",45
"152",-40
"153",-30
"154",-20
"155",-50
"156",-24
"157",-21
"158",-10
"159",16
"160",-3
"161",20
"162",-6
"163",1
"164",-9
"165",6
"166",29
"167",29
"168",-41
"169",12
"170",22
"171",-18
"172",-5
"173",-4
"174",-8
"175",12
"176",-38
"177",4
"178",30
"179",28
"180",50
"181",22
"182",-44
"183",-22
"184",7
"185",27
"186",6
"187",-4
"188",-16
"189",42
"190",-22
"191",1
"192",9
"193",16
"194",-64
"195",39
"196",24
"197",53
"198",5
"199",-45
"200",-23
"201",-3
"202",-32
"203",5
"204",3
"205",16
"206",-19
"207",-2
"208",52
"209",-17
"210",6
"211",-60
"212",-35
"213",13
"214",46
"215",-1
"216",-15
"217",4
"218",-18
"219",-11
"220",-44
"221",15
"222",31
"223",-18
"224",7
"225",-36
"226",13
"227",-11
"228",13
"229",-19
"230",-39
"231",-61
"232",-11
"233",-9
"234",-6
"235",-19
"236",-7
"237",3
"238",18
"239",19
"240",22
"241",-29
"242",-69
"243",17
"244",-10
"245",23
"246",-26
"247",24
"248",-13
"249",-2
"250",-23
"251",32
"252",25
"253",21
"254",14
"255",-2
"256",-13
"257",-16
"258",16
"259",24
"260",20
"261",10
"262",-2
"263",-25
"264",20
"265",-20
"266",-19
"267",-59
"268",48
"269",10
"270",-72
"271",34
"272",-9
"273",11
"274",-25
"275",14
"276",26
"277",-77
"278",-6
"279",35
"280",-14
"281",-16
"282",-16
"283",29
"284",-26
"285",-38
"286",-16
"287",-70
"288",18
"289",10
"290",3
"291",-4
"292",1
"293",3
"294",0
"295",27
"296",-3
"297",-18
"298",-63
"299",-15
"300",-3
"301",-22
"302",10
"303",-53
"304",5
"305",-2
"306",47
"307",62
"308",18
"309",30
"310",-46
"311",-5
"312",35
"313",-7
"314",7
"315",30
"316",15
"317",8
"318",-15
"319",-50
"320",21
"321",-23
"322",7
"323",-4
"324",20
"325",-48
"326",1
"327",-5
"328",-7
"329",14
"330",9
"331",-74
"332",-5
"333",21
"334",37
"335",8
"336",63
"337",49
"338",23
"339",-49
"340",-12
"341",34
"342",-17
"343",-5
"344",-37
"345",-13
"346",12
"347",-2
"348",14
"349",-6
"350",-52
"351",19
"352",-28
"353",11
"354",28
"355",10
"356",30
"357",-33
"358",9
"359",-1
"360",-67
"361",12
"362",-4
"363",-15
"364",30
"365",-31
"366",23
"367",-13
"368",-7
"369",-31
